Module,Tech,Width,Target Freq,Delay,Area,L Power (nW),D energy (nJ)
mux2,tsmc28,8,30798,0.0337446408857718,16.758,114.743,0.005454899668809662
mux4,sky90,16,4427,0.224217604924328,359.659999,419.855,0.10074542579625027
csa,sky90,128,6415,0.1639816453624318,5895.680054,3630.0,2.7976617303195637
comparator,tsmc28,8,18446,0.058025295348585054,37.548,189.059,0.009611839965304132
mux8,tsmc28,32,11713,0.08517122410996329,172.115999,823.633,0.046956373260479814
mux8,sky90,128,2507,0.3981901272437176,3752.420073,821.695,0.6968488232947746
flop,sky90,128,10,0.1143419999999935,2132.4799805,1035.0,3.094
priorityencoder,sky90,64,4426,0.25084764121102576,804.580015,353.584,0.07162223226389516
flop,tsmc28,16,22091,0.048891303426734874,30.24,157.29,0.05447693630890407
mult,sky90,64,607,1.6473724579901154,75321.821095,29500.0,72.59637561779242
mux4,sky90,16,4226,0.24670538334122102,318.500005,131.356,0.08305726455276859
add,sky90,128,1923,0.5214358008320333,6239.660121,2280.0,2.12532501300052
mux2,sky90,64,3989,0.24961239583855604,479.220007,148.175,0.16570569064928556
mux2,tsmc28,32,18261,0.05585551360823613,32.130001,171.146,0.009900881660369093
mux4,sky90,128,2977,0.3352126328518643,2350.040007,969.13,0.8307020490426603
mux2,sky90,64,4127,0.248457760358614,479.220009,106.14,0.15144172522413374
add,sky90,64,2139,0.4674681813931744,2781.240054,1050.0,0.9392239364188874
mux4,sky90,128,3260,0.3103584662576687,2170.700039,1040.0,0.694478527607362
add,tsmc28,8,13284,0.07456053056308341,33.264,180.682,0.01306082505269497
csa,sky90,64,5568,0.17497270114942529,2314.760045,1640.0,1.1876795977011494
mux4,sky90,8,5287,0.22075118138831096,203.840004,102.281,0.046718365802912803
mux4,tsmc28,1,24680,0.04009963857374392,2.898,17.89,0.0008812803889789302
csa,tsmc28,16,25014,0.04049261253697929,104.832,964.99,0.043495642440233476
mux2,tsmc28,64,18568,0.05371109651012495,91.35,523.884,0.027574321413183972
csa,sky90,16,5568,0.17497270114942529,574.280011,400.9,0.292205459770115
mux8,tsmc28,64,11234,0.08957548869503294,446.795996,2070.0,0.09337724764108954
mux8d,sky90,1,7008,0.14061306392694065,110.740002,96.387,0.025470890410958902
mux8,tsmc28,1,15690,0.06278186297004462,11.718,79.753,0.0036966220522625876
mux4,tsmc28,128,10,0.3817059999999941,212.561998,731.833,0.07329999999999999
mux4,sky90,8,4568,0.21942118563922944,136.220003,45.945,0.038507005253940456
mux4,sky90,8,4693,0.21214331557639038,145.040003,64.775,0.0389729384189218
comparator,tsmc28,16,14010,0.07188958743754462,52.92,242.622,0.014039971448965025
priorityencoder,tsmc28,32,15146,0.06594503274792025,47.502,151.098,0.007295655618645188
priorityencoder,tsmc28,32,17122,0.059302392010279176,59.598001,207.143,0.008871627146361406
priorityencoder,sky90,128,3273,0.30545509471432936,1551.340029,539.05,0.10785212343415826
mux4d,sky90,1,9701,0.10307715647871353,51.940001,49.18,0.013627461086485928
mux2,tsmc28,16,18001,0.05470446930726071,14.994,80.805,0.004971946002999833
add,sky90,8,3512,0.2841480410022779,244.020004,156.809,0.13069476082004555
comparator,tsmc28,32,11896,0.08406186953597848,140.238,622.659,0.034045057162071284
comparator,sky90,32,3530,0.28273311898016995,722.260014,318.387,0.11784702549575071
mux2,sky90,8,4875,0.20357220512820512,60.760001,22.812,0.021271794871794873
mux8,tsmc28,8,11869,0.08421509630128908,59.094,255.901,0.01325301204819277
mux4d,sky90,1,10,0.188477000000006,13.72,1.708,0.00325
priorityencoder,tsmc28,128,11211,0.08919110900008921,283.248002,843.21,0.03559004549103559
mux4,tsmc28,128,12043,0.08302378842481109,260.315998,1150.0,0.08394918209748403
flop,tsmc28,64,20454,0.04889119262735895,120.959999,630.0,0.21783025325119781
mult,sky90,32,824,1.2735492330097087,28626.780516,20200.0,29.580097087378643
mux8,tsmc28,32,11245,0.08892641262783459,215.837997,958.69,0.048999555357936854
mux4,sky90,32,4283,0.24468120476301655,847.700016,518.861,0.18001400887228577
csa,tsmc28,64,22562,0.04244531185178619,249.984005,1920.0,0.11022958957539225
mux2,tsmc28,8,28429,0.03986434911533997,11.466,61.225,0.0031622638854690633
shiftleft,sky90,32,2553,0.39648804386995695,1666.980028,1060.0,0.4888366627497062
csa,sky90,8,6238,0.1653617909586406,338.100007,209.02,0.15581917281179863
priorityencoder,sky90,8,7683,0.12508649056358195,50.960001,24.761,0.010685929975270078
mux2,sky90,128,3956,0.2642535864509606,1007.440002,394.624,0.3660262891809909
flop,tsmc28,16,20864,0.048891447852760735,30.24,157.289,0.054469421012269946
mux2,tsmc28,128,16637,0.05991099044298852,176.525999,941.106,0.05012923002945243
mux4,sky90,128,3303,0.3069780711474417,2001.160038,779.991,0.5818952467453831
shiftleft,tsmc28,64,8603,0.1211845214460072,1153.529997,6100.0,0.3193072184121818
csa,tsmc28,64,25505,0.04036599843168006,403.199997,3800.0,0.17047637718094488
shiftleft,sky90,128,1831,0.5460426450027308,8026.200142,4230.0,2.3042053522665213
shiftleft,tsmc28,16,10860,0.09202503130755064,79.632,346.968,0.02283609576427256
comparator,tsmc28,32,13110,0.08841365064836003,147.798,653.398,0.03607932875667429
shiftleft,tsmc28,8,15202,0.0656078183133798,50.652,367.074,0.016991185370346006
mult,tsmc28,64,2486,0.41838261464199517,17830.386041,123000.0,20.405068382944492
mux4,sky90,16,3827,0.25013328037627386,234.220005,65.786,0.06731120982492814
mux4,sky90,32,3953,0.2646354260055654,694.820013,302.215,0.17227422210979004
add,sky90,32,10,3.640808000000007,456.679995,55.753,0.1603
priorityencoder,sky90,32,5171,0.20654319222587508,394.940008,211.398,0.04892670663314639
comparator,tsmc28,16,13461,0.07416968583314762,48.888,209.064,0.012599361117301833
add,sky90,8,3365,0.2960748202080238,240.100004,135.697,0.12124814264487371
flop,tsmc28,32,19636,0.04889186901609289,60.4799995,314.5785,0.10893257282542271
mux4,tsmc28,32,14285,0.06951250017500875,70.056,308.062,0.021701085054252712
mux4,tsmc28,32,15196,0.06580579126085812,69.174,324.969,0.023229797315082915
add,sky90,64,2096,0.4770132366412214,2851.800056,1100.0,0.9990458015267174
mux4,tsmc28,128,12304,0.08125338231469441,292.949997,1310.0,0.08566319895968791
flop,tsmc28,64,19636,0.04889186901609289,120.959999,630.0,0.21783968221633732
mux8,sky90,8,3585,0.2789170278940028,287.140006,116.648,0.06089260808926081
mux2,sky90,64,4088,0.2460983953033268,482.160008,124.422,0.15557729941291584
mux2d,sky90,1,12160,0.07841884210526316,18.62,16.576,0.005921052631578948
mult,tsmc28,32,10,2.1397929999999974,1770.426003,6970.0,1.456
mux2,sky90,128,3652,0.2735615629791895,942.760018,230.203,0.3044906900328587
mux8,sky90,64,3027,0.33226909250082587,2210.880042,855.564,0.4800132144037
priorityencoder,sky90,32,4979,0.2094015428800964,372.400007,230.625,0.04500903795942961
comparator,sky90,8,5226,0.20861193761959435,224.420003,142.569,0.05778798316111749
mux8,sky90,128,2720,0.37196705882352943,4226.740078,1240.0,0.8011029411764705
mux4,sky90,128,3663,0.306884273000273,2294.180044,743.289,0.5511875511875511
comparator,tsmc28,128,8621,0.11599382415033059,419.705999,1440.0,0.09163670107876117
mux4,sky90,128,3256,0.3071863071253071,2184.420042,693.138,0.5810810810810811
flop,tsmc28,128,10,0.048889000000002625,241.919998,1260.0,0.43579999999999997
mult,tsmc28,128,1719,0.5817325660267597,38214.666162,205000.0,39.616055846422334
mux4,sky90,1,7478,0.1283835950788981,28.420001,21.808,0.006338593206739769
flop,tsmc28,16,10,0.048889000000002625,30.24,157.29,0.054290000000000005
comparator,sky90,8,4645,0.21420925296017224,196.000004,116.123,0.04736275565123789
mux2,sky90,64,3980,0.25226428140703516,526.259999,203.192,0.19095477386934673
shiftleft,sky90,16,3288,0.30390325304136256,618.380008,475.055,0.1648418491484185
mult,sky90,64,594,1.6834886835016836,71780.100958,24600.0,63.42255892255892
mux4,sky90,1,7322,0.13543670636438132,32.340001,22.173,0.006787762906309752
mux2,tsmc28,8,31391,0.03374526453442069,16.758,114.743,0.005456978114746265
mux4,tsmc28,32,10,0.12346599999999341,54.431999,199.177,0.01354
csa,sky90,32,5758,0.16536141368530738,1066.240021,616.808,0.5448072247308093
mux8d,sky90,1,7605,0.13242743918474686,89.180001,45.284,0.01604207758053912
priorityencoder,tsmc28,32,15805,0.06325111673521037,49.896,157.04,0.007586206896551723
mux4,tsmc28,64,13369,0.07450691024010771,136.331999,609.938,0.043832747400703115
flop,tsmc28,128,22091,0.048891303426734874,241.919998,1260.0,0.43565252817889644
comparator,sky90,8,4452,0.22251914914645105,175.420003,102.05,0.044609164420485174
mux2d,sky90,1,12688,0.07841862799495587,18.62,16.576,0.005918978562421185
csa,tsmc28,16,25505,0.04036599843168006,100.799999,950.751,0.04277592628896295
mux4,sky90,16,4213,0.2508225506764776,283.220006,87.245,0.07239496795632566
flop,sky90,32,9096,0.11434443447669304,533.119995,259.258,0.7742414248021108
priorityencoder,tsmc28,64,14080,0.07119772727272727,165.312001,544.165,0.02166193181818182
mux4,tsmc28,32,16108,0.06632995356344673,93.239999,437.954,0.02675689098584554
priorityencoder,tsmc28,16,20403,0.048862400137234724,20.412,65.051,0.0036612262902514328
mux8,sky90,8,3729,0.2746434097613301,422.380008,228.3,0.09680879592384017
priorityencoder,sky90,64,3852,0.25960539979231567,720.300014,251.028,0.059449636552440295
mux4,sky90,8,4661,0.21448923471358078,164.640002,88.494,0.0431452478009011
mux4,sky90,32,3813,0.25986668712300026,471.380009,153.367,0.14030946761080512
priorityencoder,tsmc28,128,10982,0.09105009506465125,249.984,708.42,0.031050810417046076
mux4,sky90,64,3488,0.29027124770642204,1076.04002,336.513,0.28526376146788995
mux2,sky90,1,11324,0.08482301836806781,11.76,9.281,0.0037265983751324622
flop,sky90,64,8571,0.11434450029168125,1066.23999,520.0,1.548302415120756
flop,sky90,64,9270,0.11434386515641856,1066.23999,520.0,1.5483279395900755
flop,tsmc28,128,20864,0.048891447852760735,241.919998,1260.0,0.43563075153374237
flop,sky90,8,8396,0.11434433539780849,133.279999,64.8145,0.19359218675559792
mux4d,tsmc28,1,33909,0.02948569568551122,6.426,53.381,0.001967029402223598
mux4,tsmc28,64,14483,0.07128446827314783,225.287996,1000.0,0.05792998688117103
shiftleft,sky90,64,2336,0.4500001917808219,4441.360059,3810.0,1.3458904109589043
csa,sky90,32,6238,0.1653617909586406,1349.460026,801.907,0.6146200705354279
mux2,tsmc28,1,49852,0.019658375752226592,2.142,15.112,0.0006017812725667977
comparator,tsmc28,16,12912,0.07736533581164808,50.4,200.11,0.012732342007434944
mux8,sky90,64,2906,0.3440756228492774,2132.48004,808.482,0.44287680660701995
mux8,sky90,32,3242,0.32156957310302287,1071.14002,340.021,0.22270203578038247
flop,tsmc28,32,20045,0.04889175255674732,60.4799995,314.5785,0.10893739087054129
mux4,sky90,64,3933,0.30270983549453345,1673.840027,1300.0,0.4558860920416985
mux4,sky90,16,4571,0.26359750973528767,358.680007,100.453,0.07941369503390942
comparator,sky90,128,2522,0.3958217057890563,2654.820052,488.071,0.3370340999206979
mux2,sky90,32,3400,0.29179964705882355,223.440004,42.391,0.07158823529411765
add,tsmc28,16,11290,0.08851795925597875,85.428,437.897,0.03153232949512843
mux4,sky90,16,4500,0.2284882222222222,437.080003,420.382,0.10422222222222222
flop,sky90,8,8921,0.11434405660800359,133.279999,64.8145,0.19361058177334378
add,sky90,8,3585,0.2792020278940028,268.520005,182.205,0.13361227336122733
priorityencoder,sky90,128,3341,0.29916058335827594,1694.420031,709.89,0.1343909009278659
comparator,tsmc28,16,12637,0.07900370554720265,43.218,177.517,0.011403022869351903
mux4,sky90,64,3414,0.2928525407147042,1048.60002,252.076,0.2685998828353837
csa,tsmc28,32,25995,0.040894936333910364,201.599998,1900.0,0.08578572802462012
add,tsmc28,8,12731,0.07846142510407667,28.98,157.91,0.011994344513392508
mux4,tsmc28,8,10,0.07530199999999354,15.12,54.869,0.00356
flop,sky90,16,8046,0.11434435918468804,266.5599975,129.629,0.38714889386030327
mux2,tsmc28,128,17636,0.05977820004536176,201.347999,1400.0,0.06707870265366295
mux4,sky90,16,4484,0.22884816503122213,436.100003,418.878,0.10347903657448705
mux4d,sky90,1,9507,0.10386665267697485,50.960001,47.194,0.013484800673188175
mux4,tsmc28,128,13875,0.07613907207207207,305.927997,1490.0,0.09643243243243244
mux4,tsmc28,1,27305,0.03808832906061161,5.292,41.928,0.0017103094671305622
shiftleft,tsmc28,32,9012,0.11093316023080337,245.951999,1140.0,0.06746560142032845
priorityencoder,tsmc28,16,22954,0.04644439165287096,26.712,104.46,0.004752984229328221
mux2,tsmc28,32,17545,0.05664229524080935,30.366001,167.377,0.009905956112852665
mult,sky90,8,1337,0.7566541563201197,2445.100044,1850.0,1.6222887060583395
priorityencoder,sky90,32,5075,0.20628333497536946,382.200007,257.609,0.05142857142857143
comparator,sky90,16,10,0.9970469999999949,252.840005,31.402,0.0261
mult,sky90,16,1057,1.005271793755913,8161.440151,5800.0,7.126773888363293
priorityencoder,tsmc28,128,12355,0.08705389113719142,300.006001,970.795,0.0405503844597329
mux4,tsmc28,16,16816,0.06093117411988582,41.202,195.667,0.012725975261655566
shiftleft,sky90,16,3154,0.3167537045022194,546.840011,299.663,0.12682308180088775
csa,tsmc28,32,25014,0.04049261253697929,209.664,1930.0,0.08675141920524505
mux2,tsmc28,32,10,0.17166100000000029,28.728001,146.078,0.00979
mux4,tsmc28,1,26255,0.03808798324128737,5.292,41.928,0.0017101504475338031
mux2d,tsmc28,1,50709,0.019658365221163897,2.142,15.112,0.0006014711392454988
add,tsmc28,8,14945,0.07161801070592172,40.068,231.181,0.015396453663432584
mux8,sky90,16,3705,0.2855275330634278,599.760012,190.243,0.1214574898785425
mult,sky90,128,534,1.9193641760299625,301809.624151,125000.0,289.23595505617976
mux2,tsmc28,16,17618,0.054704131683505505,14.994,80.805,0.004972187535475082
add,tsmc28,128,7787,0.1333521601386927,1023.246011,5130.0,0.38153332477205604
add,tsmc28,16,10829,0.0922426301597562,72.45,357.027,0.027241665897128085
shiftleft,tsmc28,64,7942,0.12590886829513975,745.289994,3610.0,0.21191135734072022
mux4,sky90,32,3889,0.2611895104139882,714.420014,328.777,0.19002314219593724
mux2,tsmc28,1,46800,0.021009521367521367,1.89,12.344,0.0005767094017094016
mux4,sky90,1,8412,0.12749279362815027,28.420001,25.098,0.0064907275320970036
mult,sky90,64,10,15.014533999999998,46801.860227,5460.0,19.459999999999997
mult,sky90,64,632,1.5822664810126583,86011.661365,42600.0,88.84651898734177
mux4,sky90,16,4840,0.2558435702479339,359.660007,120.182,0.0737603305785124
mult,sky90,8,1310,0.7631557786259543,2194.220041,1440.0,1.421374045801527
mux8,tsmc28,64,11675,0.09174310492505353,303.407999,1480.0,0.0835117773019272
mux2,tsmc28,128,16970,0.05955851915144372,179.045998,924.038,0.04908662345315262
shiftleft,sky90,16,3087,0.32345509944930356,604.660009,407.488,0.16747651441528993
flop,tsmc28,16,19636,0.04889186901609289,30.24,157.289,0.054466286412711354
shiftleft,tsmc28,16,11804,0.08465604506946797,127.511999,602.29,0.03388681802778719
csa,sky90,64,5810,0.16922003958691909,2696.960052,1950.0,1.3139414802065403
mux2,sky90,1,11565,0.0848227907479464,11.76,9.281,0.0037267617812364894
priorityencoder,tsmc28,128,10754,0.09298165538404315,237.636,654.025,0.029105449135205505
mux2,sky90,128,4032,0.24862387301587302,1305.360024,778.01,0.45907738095238093
shiftleft,tsmc28,64,8934,0.12338694537721065,1131.605996,5920.0,0.3117304678755317
mux4,sky90,16,4123,0.24214683846713558,291.060006,99.813,0.0720834343924327
shiftleft,tsmc28,16,12276,0.08213775887911372,128.771999,599.581,0.033154121863799284
mux2,sky90,64,3954,0.25284044714213455,482.160009,158.571,0.16514921598381385
mux4,tsmc28,128,14137,0.07497236556553724,331.505997,1600.0,0.09705029355591709
mux2,tsmc28,16,19533,0.052470412891004965,15.372,84.373,0.00504274816976399
mux4,sky90,128,3237,0.30838301977139326,2062.900036,880.935,0.6774791473586654
mux4,sky90,128,3249,0.3077210113881194,2013.900038,818.249,0.6094182825484764
flop,tsmc28,64,20864,0.048891447852760735,120.959999,630.0,0.21783934049079753
shiftleft,sky90,32,2503,0.39951757530962845,1475.880027,768.262,0.3807431082700759
csa,tsmc28,128,22562,0.04244531185178619,499.96801,3850.0,0.2204591791507845
flop,tsmc28,8,21273,0.0488919443425939,15.12,78.6345,0.027236402952098903
mux2d,tsmc28,1,55991,0.01893201321640978,3.276,26.574,0.0009269346859316676
csa,sky90,32,10,0.2641830000000027,470.399994,55.245,0.1684
shiftleft,sky90,8,4154,0.2387968247472316,217.560004,130.113,0.0530091478093404
mux8,tsmc28,8,12644,0.07905289591901297,44.352,215.422,0.011839607719076242
mux2,tsmc28,1,54939,0.019658005861045887,2.142,15.112,0.0006006661934145144
flop,tsmc28,128,20045,0.04889175255674732,241.919998,1260.0,0.43564479920179594
flop,tsmc28,16,20454,0.04889119262735895,30.24,157.289,0.054471008115771984
mux2,sky90,32,4903,0.20096176116663267,374.360008,257.036,0.1366510299816439
shiftleft,tsmc28,32,9204,0.10864541373315949,288.539999,1370.0,0.08192090395480227
comparator,tsmc28,64,10645,0.09393481728511037,278.712,1140.0,0.06519492719586659
mux4,sky90,32,3737,0.26718032700026756,447.860009,138.381,0.1364731067701365
csa,sky90,16,6415,0.1639816453624318,736.960007,453.967,0.3499610288386594
add,sky90,128,1847,0.5413075165132648,6010.340117,1930.0,2.0184082295614507
csa,tsmc28,8,26486,0.040226795514611495,52.416,489.192,0.021860605602960055
flop,tsmc28,64,19227,0.048891193998023615,120.959999,630.0,0.2178186924637229
flop,tsmc28,32,19227,0.048891193998023615,60.4799995,314.5785,0.10892754979976076
mux4,sky90,32,3584,0.27880885714285714,450.800009,134.823,0.138671875
mux8,tsmc28,8,13934,0.07549890110521028,46.494,225.202,0.012243433328548874
csa,sky90,16,10,0.2641830000000027,235.199997,27.622,0.0846
mux2,sky90,8,5617,0.18835097739006587,64.680001,21.541,0.019316361046822147
mux2,sky90,32,3550,0.26887414084507044,226.380004,71.139,0.07999999999999999
mux2,sky90,16,4751,0.20207400378867607,119.560002,32.354,0.03896021890128394
mux4,sky90,16,3668,0.26406813522355504,238.140005,68.275,0.0723009814612868
shiftleft,tsmc28,16,11568,0.08636336652835408,114.407998,555.079,0.032244121715076075
mux2,tsmc28,128,10,0.31761899999999343,113.274004,578.362,0.0475
add,sky90,8,3731,0.2784306582685607,282.240005,170.25,0.14312516751541143
mux2,sky90,128,4004,0.24974824975024976,1302.420025,767.078,0.4665334665334665
add,sky90,32,2226,0.44901729829290205,1172.080023,417.603,0.44923629829290207
mux2d,tsmc28,1,57047,0.018932405577856855,3.276,26.574,0.0009273055550686277
mux2,tsmc28,16,10,0.08560900000000515,14.49,74.123,0.00485
mux4,sky90,32,3871,0.26118918057349527,714.420014,329.878,0.19064841126323948
mux4,sky90,128,10,1.923141000000001,1662.080032,111.431,0.439
comparator,sky90,16,4179,0.24596069657812875,417.480006,278.291,0.08542713567839195
shiftleft,sky90,32,2704,0.3823014852071006,1741.460027,1220.0,0.47928994082840237
mux4,tsmc28,128,13351,0.07571775649764062,330.245998,1650.0,0.10074151748932667
comparator,sky90,32,3746,0.2740004148424987,769.300014,392.725,0.12786972770955685
comparator,tsmc28,32,11653,0.08639581163648846,133.308,567.495,0.03226636917531966
shiftleft,sky90,128,1984,0.5263342580645162,9846.060141,7380.0,3.1139112903225805
flop,sky90,16,8396,0.11434433539780849,266.5599975,129.629,0.38708909004287756
flop,tsmc28,64,20045,0.04889175255674732,120.959999,630.0,0.21780992766275878
add,sky90,16,3177,0.3287743544224111,734.020014,502.145,0.32892666037141954
mux8,tsmc28,32,11947,0.08545102167908261,294.588,1430.0,0.06068469071733489
add,tsmc28,32,10401,0.10034260148062688,236.250002,1260.0,0.09133737140659552
mult,tsmc28,32,3151,0.330004568390987,6357.077997,47200.0,6.3624246271025084
comparator,tsmc28,64,11514,0.09154979034219211,276.192001,1270.0,0.06513809275664408
csa,tsmc28,8,25014,0.04049261253697929,52.416,482.462,0.02170784360757975
priorityencoder,sky90,64,4098,0.2439914738897023,797.720015,382.205,0.07393850658857981
csa,tsmc28,64,25995,0.040894936333910364,403.199997,3790.0,0.17187920753991154
add,sky90,8,3951,0.26842548089091367,271.460005,148.556,0.12401923563654771
priorityencoder,sky90,64,10,1.535827999999995,436.100008,29.529,0.02269
mux2,sky90,64,4315,0.2418707103128621,485.100007,130.641,0.159675550405562
csa,tsmc28,128,24524,0.040663382319360626,838.655998,7720.0,0.3471701190670363
add,tsmc28,128,7210,0.13869425520110956,868.140006,4090.0,0.33134535367545076
mux8,sky90,32,3432,0.3320732913752914,899.640018,274.871,0.17424242424242425
mux8,sky90,8,3872,0.2781554628099173,312.620006,98.575,0.05661157024793389
add,sky90,16,10,1.9208679999999987,221.479998,28.13,0.07880000000000001
priorityencoder,tsmc28,64,14908,0.07170007888382077,148.932001,495.463,0.020056345586262413
csa,tsmc28,128,24034,0.04077672239327619,790.271996,7570.0,0.3422651244070899
